month,certified_active_customers,customer_balances_aed_m,financing_book_aed_m,par30_pct,net_financing_income_aed_m,new_to_bank_share_pct,digital_activation_pct,sharia_control_exceptions
2025-08,11980,51.2,94.4,2.7,3.15,35.6,62.1,0
2025-09,12420,54.8,98.2,2.8,3.36,36.2,63.4,0
2025-10,12970,57.4,102.9,2.7,3.52,37.0,64.8,0
2025-11,13410,60.8,107.8,2.6,3.66,37.5,65.9,0
2025-12,14080,63.1,112.3,2.7,3.98,38.1,67.2,0
2026-01,14620,67.5,117.9,2.5,4.16,38.7,68.5,0
2026-02,15110,70.9,122.4,2.6,4.48,39.4,69.7,0
2026-03,15690,75.4,127.3,2.5,4.71,40.3,70.9,0
2026-04,16260,79.1,131.6,2.5,5.04,41.1,71.8,0
2026-05,16920,84.7,136.4,2.4,5.43,42.0,72.9,0
2026-06,17410,89.2,140.1,2.5,5.82,43.0,73.6,0
2026-07,18640,94.8,142.6,2.4,6.42,43.8,74.6,0
